index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,Publisher,units sold,language
0,1975.0,Beowulf,"Unknown, Seamus Heaney",English,Novice,3.42,155903,popular_fiction,34160.0,20496.0,4.88,1,HarperCollins Publishers,7000,English
1,1987.0,Batman: Year One,"Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",English,Intermediate,4.23,145267,popular_fiction,12437.5,7462.5,1.99,2,HarperCollins Publishers,6250,English
2,2015.0,Go Set a Watchman,Harper Lee,English,Novice,3.31,138669,popular_fiction,47795.0,28677.0,8.69,3,"Amazon Digital Services,  Inc.",5500,English
3,2008.0,When You Are Engulfed in Flames,David Sedaris,English,Intermediate,4.04,150898,fiction,41250.0,24750.0,7.5,3,Hachette Book Group,5500,English
4,2011.0,Daughter of Smoke & Bone,Laini Taylor,English,Intermediate,4.04,198283,popular_fiction,37952.5,22771.5,7.99,4,Penguin Group (USA) LLC,4750,English
5,2015.0,Red Queen,Victoria Aveyard,English,Intermediate,4.08,83354,popular_fiction,19960.0,0.0,4.99,5,"Amazon Digital Services,  Inc.",4000,English
6,2011.0,The Power of Habit,Charles Duhigg,English,Intermediate,4.03,155977,popular_fiction,27491.67,16495.002,6.99,6,HarperCollins Publishers,3933,English
7,1994.0,Midnight in the Garden of Good and Evil,John Berendt,English,Intermediate,3.9,167997,nonfiction,26182.0,15709.2,6.89,8,Hachette Book Group,3800,English
8,2012.0,Hopeless,Colleen Hoover,English,Intermediate,4.34,189938,popular_fiction,26093.67,15656.202,6.99,9,HarperCollins Publishers,3733,English
9,1905.0,A Little Princess,"Frances Hodgson Burnett, Nancy Bond",English,Intermediate,4.2,199872,popular_fiction,23792.34,14275.404,6.49,10,Random House LLC,3666,English
10,2004.0,The Truth About Forever,Sarah Dessen,English,Intermediate,4.13,179415,popular_fiction,17964.0,0.0,4.99,11,"Amazon Digital Services,  Inc.",3600,English
11,1954.0,The horse and his boy,C.S. Lewis,English,Intermediate,3.9,189671,fiction,21564.0,12938.4,5.99,11,Penguin Group (USA) LLC,3600,English
12,2010.0,Last Sacrifice ,Richelle Mead,English,Famous,4.42,206792,popular_fiction,3431.34,0.0,0.99,13,"Amazon Digital Services,  Inc.",3466,English
13,1935.0,Little House on the Prairie,"Laura Ingalls Wilder, Garth Williams",English,Intermediate,4.18,195424,popular_fiction,6897.34,4138.404,1.99,13,HarperCollins Publishers,3466,English
14,1922.0,The Velveteen Rabbit,"Margery Williams Bianco, William   Nicholson",English,Intermediate,4.29,173469,popular_fiction,21797.82,13078.692,6.54,15,Random House LLC,3333,English
15,1974.0,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,English,Intermediate,3.76,139411,popular_fiction,16297.34,0.0,4.99,16,"Amazon Digital Services,  Inc.",3266,English
16,1897.0,The War of the Worlds,"H.G. Wells, Arthur C. Clarke",English,Intermediate,3.8,159752,popular_fiction,15968.0,0.0,4.99,17,"Amazon Digital Services,  Inc.",3200,English
17,2006.0,Pretty Little Liars,Sara Shepard,English,Intermediate,3.9,156328,popular_fiction,15968.0,0.0,4.99,17,"Amazon Digital Services,  Inc.",3200,English
18,1948.0,Corduroy,Don Freeman,English,Intermediate,4.28,160860,popular_fiction,6234.67,3740.802,1.99,18,Simon and Schuster Digital Sales Inc,3133,English
19,2006.0,The Omnivore's Dilemma,Michael Pollan,English,Intermediate,4.17,133271,popular_fiction,3035.34,0.0,0.99,19,"Amazon Digital Services,  Inc.",3066,English
20,2013.0,Life After Life,Kate Atkinson,English,Intermediate,3.74,138454,popular_fiction,11702.67,0.0,3.99,21,"Amazon Digital Services,  Inc.",2933,English
21,2000.0,The Rescue,Nicholas Sparks,English,Intermediate,4.1,142092,popular_fiction,8569.34,0.0,2.99,22,"Amazon Digital Services,  Inc.",2866,English
22,1991.0,Needful Things,Stephen King,,Intermediate,3.87,153821,popular_fiction,2772.0,0.0,0.99,23,"Amazon Digital Services,  Inc.",2800,
23,1993.0,Voyager,Diana Gabaldon,English,Intermediate,4.38,157395,popular_fiction,8171.67,0.0,2.99,24,"Amazon Digital Services,  Inc.",2733,English
24,1996.0,,"Kenneth Branagh, William Shakespeare",English,Intermediate,4.12,156869,popular_fiction,2639.34,1583.604,0.99,25,"Amazon Digital Services,  Inc.",2666,English
25,1981.0,Cujo,Stephen King,Spanish,Intermediate,3.65,158215,popular_fiction,7774.0,0.0,2.99,26,"Amazon Digital Services,  Inc.",2600,Spanish
26,1993.0,The Virgin Suicides,Jeffrey Eugenides,English,Intermediate,3.83,159249,popular_fiction,26904.06,16142.436,10.91,28,Penguin Group (USA) LLC,2466,English
27,2004.0,Dead to the World,Charlaine Harris,English,Intermediate,4.13,199572,popular_fiction,2376.0,0.0,0.99,29,"Amazon Digital Services,  Inc.",2400,English
28,1891.0,Tess of the d'Urbervilles: A Pure Woman Faithfully Presented,"Thomas Hardy, Tim Dolin, Margaret R. Higonnet",English,Intermediate,3.77,171599,nonfiction,9576.0,5745.6,3.99,29,Hachette Book Group,2400,English
29,1856.0,Madame Bovary,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",English,Intermediate,3.64,158877,popular_fiction,9308.67,0.0,3.99,30,"Amazon Digital Services,  Inc.",2333,English
30,1961.0,The Phantom Tollbooth,"Norton Juster, Jules Feiffer",English,Intermediate,4.22,178432,popular_fiction,4509.34,0.0,1.99,31,"Amazon Digital Services,  Inc.",2266,English
31,2010.0,The Way of Kings,Brandon Sanderson,English,Famous,4.64,144822,popular_fiction,2178.0,0.0,0.99,32,"Amazon Digital Services,  Inc.",2200,English
32,2003.0,Club Dead,Charlaine Harris,English,Intermediate,4.03,181323,popular_fiction,13178.0,7906.8,5.99,32,HarperCollins Publishers,2200,English
33,2006.0,It's Kind of a Funny Story,Ned Vizzini,English,Intermediate,4.14,161001,nonfiction,2045.34,1227.204,0.99,34,HarperCollins Publishers,2066,English
34,2007.0,,Brandon Sanderson,English,Intermediate,4.35,150736,popular_fiction,17980.0,10788.0,8.99,35,Random House LLC,2000,English
35,2015.0,After You,Jojo Moyes,English,Intermediate,3.7,99342,popular_fiction,1964.16,0.0,0.99,36,"Amazon Digital Services,  Inc.",1984,English
36,2011.0,The Language of Flowers,Vanessa Diffenbaugh,English,Intermediate,4.07,140076,popular_fiction,1964.16,1178.496,0.99,36,"Amazon Digital Services,  Inc.",1984,English
37,1986.0,Batman: The Dark Knight Returns,"Frank Miller, Klaus Janson, Lynn Varley",English,Intermediate,4.25,135979,popular_fiction,1949.31,0.0,0.99,37,"Amazon Digital Services,  Inc.",1969,English
38,2005.0,The Angel Experiment,James Patterson,English,Intermediate,4.08,172302,popular_fiction,1949.31,0.0,0.99,37,"Amazon Digital Services,  Inc.",1969,English
39,1995.0,High Fidelity,Nick Hornby,English,Intermediate,3.94,134849,popular_fiction,20309.55,12185.73,10.65,41,Random House LLC,1907,English
40,2003.0,The Guardian,Nicholas Sparks,English,Intermediate,4.14,136427,popular_fiction,1873.08,0.0,0.99,42,"Amazon Digital Services,  Inc.",1892,English
41,2003.0,Oryx and Crake,Margaret Atwood,English,Intermediate,4.0,151500,popular_fiction,7485.24,0.0,3.99,43,"Amazon Digital Services,  Inc.",1876,English
42,1998.0,"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships",John Gray,English,Intermediate,3.52,113915,popular_fiction,3703.39,2222.034,1.99,44,"Amazon Digital Services,  Inc.",1861,English
43,2000.0,Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,English,Intermediate,4.0,134177,popular_fiction,11057.54,6634.524,5.99,45,HarperCollins Publishers,1846,English
44,1999.0,Timeline,Michael Crichton,English,Intermediate,3.83,148563,popular_fiction,12791.7,7675.02,6.99,46,"Amazon Digital Services,  Inc.",1830,English
45,1759.0,Candide,Voltaire,English,Intermediate,3.76,151471,popular_fiction,8982.0,0.0,4.99,48,"Amazon Digital Services,  Inc.",1800,English
46,1975.0,Tuck Everlasting,Natalie Babbitt,English,Intermediate,3.85,174280,nonfiction,3582.0,2149.2,1.99,48,"Amazon Digital Services,  Inc.",1800,English
